date	hour	nb_streamer	nb_spec
10-Oct-11	6	7	233
10-Oct-11	7	5	213
10-Oct-11	8	3	166
10-Oct-11	9	4	149
10-Oct-11	10	6	210
10-Oct-11	11	6	223
10-Oct-11	12	5	243
10-Oct-11	13	6	203
10-Oct-11	14	9	214
10-Oct-11	15	7	194
10-Oct-11	16	10	182
10-Oct-11	17	9	158
10-Oct-11	21	12	186
10-Oct-11	22	12	243
10-Oct-11	23	10	206
11-Oct-11	0	7	362
11-Oct-11	1	6	132
11-Oct-11	2	8	143
11-Oct-11	3	11	134
11-Oct-11	4	11	166
11-Oct-11	5	9	122
11-Oct-11	6	8	91
11-Oct-11	7	5	99
11-Oct-11	8	3	96
11-Oct-11	9	5	117
11-Oct-11	10	5	129
11-Oct-11	11	4	142
11-Oct-11	12	4	174
11-Oct-11	13	5	148
11-Oct-11	14	6	156
11-Oct-11	15	6	161
11-Oct-11	16	4	169
11-Oct-11	17	3	190
11-Oct-11	18	6	168
11-Oct-11	19	9	144
11-Oct-11	20	8	124
11-Oct-11	21	10	132
11-Oct-11	22	9	117
11-Oct-11	23	8	143
12-Oct-11	0	7	97
12-Oct-11	1	7	79
12-Oct-11	2	8	257
12-Oct-11	3	8	271
12-Oct-11	4	7	137
12-Oct-11	5	2	106
12-Oct-11	6	3	115
12-Oct-11	7	4	102
12-Oct-11	8	5	104
12-Oct-11	9	8	1697
12-Oct-11	10	5	1901
12-Oct-11	11	4	2212
12-Oct-11	12	5	2455
12-Oct-11	13	5	2473
12-Oct-11	14	5	2950
12-Oct-11	15	4	3226
12-Oct-11	16	8	3662
12-Oct-11	17	10	3593
12-Oct-11	18	5	3381
12-Oct-11	19	9	132
12-Oct-11	20	10	119
12-Oct-11	21	9	237
12-Oct-11	22	9	151
12-Oct-11	23	7	130
13-Oct-11	0	7	97
13-Oct-11	1	9	80
13-Oct-11	2	8	218
13-Oct-11	3	6	195
13-Oct-11	4	6	199
13-Oct-11	5	4	83
13-Oct-11	6	2	62
13-Oct-11	7	5	60
13-Oct-11	8	5	46
13-Oct-11	9	7	38
13-Oct-11	10	4	55
13-Oct-11	11	4	57
13-Oct-11	12	3	11
13-Oct-11	13	3	42
13-Oct-11	14	3	77
13-Oct-11	15	6	72
13-Oct-11	16	6	67
13-Oct-11	17	7	93
13-Oct-11	18	4	103
13-Oct-11	19	5	145
13-Oct-11	20	11	152
13-Oct-11	21	8	123
13-Oct-11	22	10	110
13-Oct-11	23	10	131
14-Oct-11	0	13	108
14-Oct-11	1	11	91
14-Oct-11	2	6	147
14-Oct-11	3	6	137
14-Oct-11	4	8	153
14-Oct-11	5	7	127
14-Oct-11	6	6	57
14-Oct-11	7	5	47
14-Oct-11	8	5	39
14-Oct-11	9	5	30
14-Oct-11	10	5	362
14-Oct-11	11	3	21
14-Oct-11	12	4	44
14-Oct-11	13	3	59
14-Oct-11	14	3	60
14-Oct-11	15	4	53
14-Oct-11	16	6	52
14-Oct-11	17	7	68
14-Oct-11	18	6	57
14-Oct-11	19	5	63
14-Oct-11	20	5	80
14-Oct-11	21	5	104
14-Oct-11	22	6	69
14-Oct-11	23	5	67
15-Oct-11	0	4	72
15-Oct-11	1	5	122
15-Oct-11	2	4	144
15-Oct-11	3	6	121
15-Oct-11	4	13	145
15-Oct-11	5	12	118
15-Oct-11	6	7	110
15-Oct-11	7	7	127
15-Oct-11	8	6	148
15-Oct-11	9	8	178
15-Oct-11	10	9	212
15-Oct-11	11	5	193
15-Oct-11	12	10	217
15-Oct-11	13	7	307
15-Oct-11	14	7	342
15-Oct-11	15	9	355
