date	hour	nb_streamer	nb_spec
13-Oct-11	13	1	5
13-Oct-11	14	2	6
13-Oct-11	15	2	5
13-Oct-11	16	4	13
13-Oct-11	17	4	17
13-Oct-11	18	5	19
13-Oct-11	19	5	27
13-Oct-11	20	4	25
13-Oct-11	21	4	31
13-Oct-11	22	4	28
13-Oct-11	23	3	14
14-Oct-11	0	4	10
14-Oct-11	1	4	15
14-Oct-11	2	3	24
14-Oct-11	3	3	19
14-Oct-11	4	2	12
14-Oct-11	5	2	11
14-Oct-11	7	2	13
14-Oct-11	8	3	16
14-Oct-11	9	3	21
14-Oct-11	10	1	14
14-Oct-11	15	2	3
14-Oct-11	16	2	7
14-Oct-11	17	3	11
14-Oct-11	18	2	6
14-Oct-11	19	4	24
14-Oct-11	20	4	95
14-Oct-11	21	6	94
14-Oct-11	22	4	22
14-Oct-11	23	2	15
15-Oct-11	0	1	13
15-Oct-11	1	2	9
15-Oct-11	2	1	4
15-Oct-11	3	3	7
15-Oct-11	4	2	6
15-Oct-11	5	2	4
15-Oct-11	6	2	3
15-Oct-11	7	1	3
15-Oct-11	9	1	2
15-Oct-11	10	1	6
15-Oct-11	12	1	2
15-Oct-11	13	1	2
15-Oct-11	14	1	4
15-Oct-11	15	1	3
15-Oct-11	16	3	6
15-Oct-11	17	3	95
15-Oct-11	18	2	7
15-Oct-11	19	2	9
15-Oct-11	20	2	10
15-Oct-11	21	2	12
15-Oct-11	22	3	12
15-Oct-11	23	3	10
16-Oct-11	1	1	0
16-Oct-11	2	2	9
16-Oct-11	3	2	18
16-Oct-11	4	2	16
16-Oct-11	5	2	50
16-Oct-11	6	2	42
16-Oct-11	7	1	30
16-Oct-11	8	1	20
16-Oct-11	12	1	1
16-Oct-11	13	1	3
16-Oct-11	14	1	10
16-Oct-11	15	1	10
16-Oct-11	16	1	2
16-Oct-11	17	1	4
16-Oct-11	18	3	136
16-Oct-11	19	1	7
16-Oct-11	20	3	12
16-Oct-11	21	2	11
16-Oct-11	22	4	19
16-Oct-11	23	3	19
17-Oct-11	0	4	6
17-Oct-11	1	3	14
17-Oct-11	2	4	103
17-Oct-11	3	3	30
17-Oct-11	4	3	22
17-Oct-11	5	2	11
17-Oct-11	6	2	11
17-Oct-11	7	2	11
17-Oct-11	8	1	6
17-Oct-11	11	1	1
17-Oct-11	12	1	7
17-Oct-11	13	2	9
17-Oct-11	14	4	16
17-Oct-11	15	3	14
17-Oct-11	16	1	6
17-Oct-11	17	3	20
17-Oct-11	18	6	22
17-Oct-11	19	6	26
17-Oct-11	20	8	36
17-Oct-11	21	5	24
17-Oct-11	22	4	23
17-Oct-11	23	2	13
18-Oct-11	0	2	9
18-Oct-11	1	3	10
18-Oct-11	2	3	12
18-Oct-11	3	2	12
18-Oct-11	4	2	10
18-Oct-11	5	3	49
18-Oct-11	6	3	46
18-Oct-11	7	1	7
18-Oct-11	8	2	7
18-Oct-11	9	2	6
18-Oct-11	13	1	2
18-Oct-11	17	1	3
18-Oct-11	18	2	9
18-Oct-11	19	3	12
18-Oct-11	20	4	27
18-Oct-11	21	4	29
18-Oct-11	22	5	44
18-Oct-11	23	5	29
19-Oct-11	0	4	17
19-Oct-11	1	3	12
19-Oct-11	2	4	12
19-Oct-11	3	4	20
19-Oct-11	4	1	13
19-Oct-11	8	1	0
19-Oct-11	13	2	1
19-Oct-11	14	1	8
19-Oct-11	15	3	12
19-Oct-11	16	4	10
19-Oct-11	17	4	18
19-Oct-11	18	5	20
19-Oct-11	19	5	27
19-Oct-11	20	5	21
19-Oct-11	21	4	20
19-Oct-11	22	4	14
19-Oct-11	23	3	8
20-Oct-11	0	3	9
20-Oct-11	1	3	10
20-Oct-11	2	4	11
20-Oct-11	3	2	9
20-Oct-11	4	3	11
20-Oct-11	5	3	9
20-Oct-11	6	2	7
20-Oct-11	7	2	55
20-Oct-11	8	1	49
20-Oct-11	9	1	59
20-Oct-11	10	1	68
20-Oct-11	11	1	64
20-Oct-11	12	1	63
20-Oct-11	16	1	14
20-Oct-11	17	1	6
20-Oct-11	18	2	15
20-Oct-11	19	4	22
20-Oct-11	20	4	27
20-Oct-11	21	3	28
20-Oct-11	22	4	36
20-Oct-11	23	5	25
21-Oct-11	0	2	14
21-Oct-11	1	3	15
21-Oct-11	2	3	20
21-Oct-11	3	6	27
21-Oct-11	4	4	19
21-Oct-11	5	5	16
21-Oct-11	6	4	13
