date	hour	nb_streamer	nb_spec
10-Oct-11	9	3	87
10-Oct-11	10	3	77
10-Oct-11	11	4	128
10-Oct-11	12	5	180
10-Oct-11	13	4	114
10-Oct-11	14	4	128
10-Oct-11	15	2	80
10-Oct-11	16	4	93
10-Oct-11	17	3	93
10-Oct-11	21	3	63
10-Oct-11	22	3	53
10-Oct-11	23	2	33
11-Oct-11	0	1	7
11-Oct-11	1	1	4
11-Oct-11	2	2	72
11-Oct-11	3	2	76
11-Oct-11	4	2	10
11-Oct-11	5	2	22
11-Oct-11	6	2	16
11-Oct-11	7	2	11
11-Oct-11	8	2	15
11-Oct-11	9	2	39
11-Oct-11	10	2	25
11-Oct-11	11	2	55
11-Oct-11	12	2	64
11-Oct-11	13	1	30
11-Oct-11	14	1	23
11-Oct-11	15	1	23
11-Oct-11	16	2	35
11-Oct-11	17	4	63
11-Oct-11	18	2	40
11-Oct-11	19	2	81
11-Oct-11	20	2	71
11-Oct-11	21	1	14
11-Oct-11	22	2	26
11-Oct-11	23	3	26
12-Oct-11	0	2	6
12-Oct-11	1	1	5
12-Oct-11	2	3	20
12-Oct-11	3	5	18
12-Oct-11	4	5	30
12-Oct-11	5	4	22
12-Oct-11	6	3	10
12-Oct-11	7	2	13
12-Oct-11	8	2	14
12-Oct-11	9	2	16
12-Oct-11	10	1	25
12-Oct-11	11	1	23
12-Oct-11	12	1	21
12-Oct-11	13	1	25
12-Oct-11	14	1	18
12-Oct-11	15	1	15
12-Oct-11	16	1	36
12-Oct-11	17	2	41
12-Oct-11	18	3	40
12-Oct-11	19	4	27
12-Oct-11	20	3	44
12-Oct-11	21	3	59
12-Oct-11	22	3	67
12-Oct-11	23	2	14
13-Oct-11	0	1	3
13-Oct-11	2	1	3
13-Oct-11	3	1	6
13-Oct-11	4	1	13
13-Oct-11	5	3	11
13-Oct-11	6	3	10
13-Oct-11	7	3	13
13-Oct-11	8	2	10
13-Oct-11	9	1	5
13-Oct-11	10	1	1
13-Oct-11	11	1	6
13-Oct-11	12	2	17
13-Oct-11	13	1	22
13-Oct-11	14	1	17
13-Oct-11	15	2	26
13-Oct-11	16	2	32
13-Oct-11	17	2	30
13-Oct-11	18	2	34
13-Oct-11	19	2	29
13-Oct-11	20	2	18
13-Oct-11	21	2	390
13-Oct-11	22	2	995
13-Oct-11	23	2	982
14-Oct-11	0	2	773
14-Oct-11	1	2	859
14-Oct-11	3	1	4
14-Oct-11	4	1	3
14-Oct-11	5	2	7
14-Oct-11	6	2	18
14-Oct-11	7	2	10
14-Oct-11	8	1	3
14-Oct-11	9	2	8
14-Oct-11	10	2	19
14-Oct-11	11	2	16
14-Oct-11	12	2	19
14-Oct-11	13	3	13
14-Oct-11	14	2	12
14-Oct-11	15	1	8
14-Oct-11	16	1	7
14-Oct-11	17	4	19
14-Oct-11	18	5	36
14-Oct-11	19	5	25
14-Oct-11	20	4	61
14-Oct-11	21	3	40
14-Oct-11	22	2	11
14-Oct-11	23	4	12
15-Oct-11	0	3	11
15-Oct-11	1	4	39
15-Oct-11	2	3	57
15-Oct-11	3	2	2
15-Oct-11	4	2	1
15-Oct-11	5	2	4
15-Oct-11	6	3	7
15-Oct-11	7	1	6
15-Oct-11	8	1	8
15-Oct-11	9	2	10
15-Oct-11	10	1	2
15-Oct-11	11	2	12
15-Oct-11	12	1	12
15-Oct-11	13	1	17
15-Oct-11	14	1	21
15-Oct-11	15	2	14
15-Oct-11	16	3	14
15-Oct-11	17	2	9
15-Oct-11	18	2	11
15-Oct-11	19	3	13
15-Oct-11	20	1	5
15-Oct-11	21	1	8
15-Oct-11	22	2	9
15-Oct-11	23	4	47
16-Oct-11	0	4	35
16-Oct-11	1	3	34
16-Oct-11	2	6	41
16-Oct-11	3	5	17
16-Oct-11	4	3	9
16-Oct-11	5	2	6
16-Oct-11	6	2	5
16-Oct-11	7	2	4
16-Oct-11	8	2	5
16-Oct-11	9	1	4
16-Oct-11	10	1	3
16-Oct-11	11	2	5
16-Oct-11	12	1	3
16-Oct-11	13	1	4
16-Oct-11	14	1	1
16-Oct-11	15	1	1
16-Oct-11	17	1	4
16-Oct-11	18	1	5
16-Oct-11	19	2	6
16-Oct-11	20	2	16
16-Oct-11	21	1	16
16-Oct-11	22	2	20
16-Oct-11	23	2	22
17-Oct-11	0	2	21
17-Oct-11	1	2	19
17-Oct-11	2	5	75
17-Oct-11	3	6	92
17-Oct-11	4	6	116
17-Oct-11	5	5	96
17-Oct-11	6	5	82
17-Oct-11	7	3	19
17-Oct-11	8	2	28
17-Oct-11	9	2	27
17-Oct-11	10	1	22
17-Oct-11	11	1	20
